infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
reizen	reize	reizt	reizt	reizen	reizt	reizen	reizte	reiztest	reizte	reizten	reiztet	reizten	gereizt	reize	reizt
reißen	reiße	reißt	reißt	reißen	reißt	reißen	riss	rissest	riss	rissen	risst	rissen	gerissen	reiße	reißt
rekapitulieren	rekapituliere	rekapitulierst	rekapituliert	rekapitulieren	rekapituliert	rekapitulieren	rekapitulierte	rekapituliertest	rekapitulierte	rekapitulierten	rekapituliertet	rekapitulierten	rekapituliert	rekapitulier	rekapituliert
rekeln													gerekelt	rekle	rekelt
reklamieren	reklamiere	reklamierst	reklamiert	reklamieren	reklamiert	reklamieren	reklamierte	reklamiertest	reklamierte	reklamierten	reklamiertet	reklamierten	reklamiert	reklamiere	reklamiert
rekognoszieren	rekognosziere	rekognoszierst	rekognosziert	rekognoszieren	rekognosziert	rekognoszieren	rekognoszierte	rekognosziertest	rekognoszierte	rekognoszierten	rekognosziertet	rekognoszierten	rekognosziert	rekognosziere	rekognosziert
rekommandieren	rekommandiere	rekommandierst	rekommandiert	rekommandieren	rekommandiert	rekommandieren	rekommandierte	rekommandiertest	rekommandierte	rekommandierten	rekommandiertet	rekommandierten	rekommandiert	rekommandier	rekommandiert
rekonstituieren	rekonstituiere	rekonstituierst	rekonstituiert	rekonstituieren	rekonstituiert	rekonstituieren	rekonstituierte	rekonstituiertest	rekonstituierte	rekonstituierten	rekonstituiertet	rekonstituierten	rekonstituiert	rekonstituiere	rekonstituiert
rekonstruieren	rekonstruiere	rekonstruierst	rekonstruiert	rekonstruieren	rekonstruiert	rekonstruieren	rekonstruierte	rekonstruiertest	rekonstruierte	rekonstruierten	rekonstruiertet	rekonstruierten	rekonstruiert	rekonstruiere	rekonstruiert
rekonvaleszieren	rekonvalesziere	rekonvaleszierst	rekonvalesziert	rekonvaleszieren	rekonvalesziert	rekonvaleszieren	rekonvaleszierte	rekonvalesziertest	rekonvaleszierte	rekonvaleszierten	rekonvalesziertet	rekonvaleszierten	rekonvalesziert	rekonvaleszier	rekonvalesziert
rekrutieren	rekrutiere	rekrutierst	rekrutiert	rekrutieren	rekrutiert	rekrutieren	rekrutierte	rekrutiertest	rekrutierte	rekrutierten	rekrutiertet	rekrutierten	rekrutiert	rekrutiere	rekrutiert
rektifizieren	rektifiziere	rektifizierst	rektifiziert	rektifizieren	rektifiziert	rektifizieren	rektifizierte	rektifiziertest	rektifizierte	rektifizierten	rektifiziertet	rektifizierten	rektifiziert	rektifizier	rektifiziert
rekultivieren	rekultiviere	rekultivierst	rekultiviert	rekultivieren	rekultiviert	rekultivieren	rekultivierte	rekultiviertest	rekultivierte	rekultivierten	rekultiviertet	rekultivierten	rekultiviert	rekultivier	rekultiviert
rekuperieren	rekuperiere	rekuperierst	rekuperiert	rekuperieren	rekuperiert	rekuperieren	rekuperierte	rekuperiertest	rekuperierte	rekuperierten	rekuperiertet	rekuperierten	rekuperiert	rekuperiere	rekuperiert
rekurrieren	rekurriere	rekurrierst	rekurriert	rekurrieren	rekurriert	rekurrieren	rekurrierte	rekurriertest	rekurrierte	rekurrierten	rekurriertet	rekurrierten	rekurriert	rekurriere	rekurriert
relativieren	relativiere	relativierst	relativiert	relativieren	relativiert	relativieren	relativierte	relativiertest	relativierte	relativierten	relativiertet	relativierten	relativiert	relativiere	relativiert
relaxen	relaxe	relaxt	relaxt	relaxen	relaxt	relaxen	relaxte	relaxtest	relaxte	relaxten	relaxtet	relaxten	relaxt	relax	relaxt
relaxieren	relaxiere	relaxierst	relaxiert	relaxieren	relaxiert	relaxieren	relaxierte	relaxiertest	relaxierte	relaxierten	relaxiertet	relaxierten	relaxiert	relaxier	relaxiert
relegieren	relegiere	relegierst	relegiert	relegieren	relegiert	relegieren	relegierte	relegiertest	relegierte	relegierten	relegiertet	relegierten	relegiert	relegiere	relegiert
relevieren	releviere	relevierst	releviert	relevieren	releviert	relevieren	relevierte	releviertest	relevierte	relevierten	releviertet	relevierten	releviert	releviere	releviert
relozieren	reloziere	relozierst	reloziert	relozieren	reloziert	relozieren	relozierte	reloziertest	relozierte	relozierten	reloziertet	relozierten	reloziert	relozier	reloziert
remilitarisieren	remilitarisiere	remilitarisierst	remilitarisiert	remilitarisieren	remilitarisiert	remilitarisieren	remilitarisierte	remilitarisiertest	remilitarisierte	remilitarisierten	remilitarisiertet	remilitarisierten	remilitarisiert	remilitarisier	remilitarisiert
reminiszieren	reminisziere	reminiszierst	reminisziert	reminiszieren	reminisziert	reminiszieren	reminiszierte	reminisziertest	reminiszierte	reminiszierten	reminisziertet	reminiszierten	reminisziert	reminiszier	reminisziert
remisieren	remisiere	remisierst	remisiert	remisieren	remisiert	remisieren	remisierte	remisiertest	remisierte	remisierten	remisiertet	remisierten	remisiert	remisier	remisiert
remonstrieren	remonstriere	remonstrierst	remonstriert	remonstrieren	remonstriert	remonstrieren	remonstrierte	remonstriertest	remonstrierte	remonstrierten	remonstriertet	remonstrierten	remonstriert	remonstrier	remonstriert
rempeln	remple	rempelst	rempelt	rempeln	rempelt	rempeln	rempelte	rempeltest	rempelte	rempelten	rempeltet	rempelten	gerempelt	remple	rempelt
remunerieren	remuneriere	remunerierst	remuneriert	remunerieren	remuneriert	remunerieren	remunerierte	remuneriertest	remunerierte	remunerierten	remuneriertet	remunerierten	remuneriert	remuneriere	remuneriert
renaturieren	renaturiere	renaturierst	renaturiert	renaturieren	renaturiert	renaturieren	renaturierte	renaturiertest	renaturierte	renaturierten	renaturiertet	renaturierten	renaturiert	renaturier	renaturiert
rendern	render	renderst	rendert	rendern	rendert	rendern	renderte	rendertest	renderte	renderten	rendertet	renderten	gerendert	render	rendert
renken	renke	renkst	renkt	renken	renkt	renken	renkte	renktest	renkte	renkten	renktet	renkten	gerenkt	renk	renkt
rennen	renne	rennst	rennt	rennen	rennt	rennen	rannte	ranntest	rannte	rannten	ranntet	rannten	gerannt	renn	rennt
renommieren	renommiere	renommierst	renommiert	renommieren	renommiert	renommieren	renommierte	renommiertest	renommierte	renommierten	renommiertet	renommierten	renommiert	renommiere	renommiert
renovieren	renoviere	renovierst	renoviert	renovieren	renoviert	renovieren	renovierte	renoviertest	renovierte	renovierten	renoviertet	renovierten	renoviert	renoviere	renoviert
renten	rente	rentest	rentet	renten	rentet	renten	rentete	rentetest	rentete	renteten	rentetet	renteten	gerentet	rente	rentet
rentieren	rentiere	rentierst	rentiert	rentieren	rentiert	rentieren	rentierte	rentiertest	rentierte	rentierten	rentiertet	rentierten	rentiert	rentiere	rentiert
reorganisieren	reorganisiere	reorganisierst	reorganisiert	reorganisieren	reorganisiert	reorganisieren	reorganisierte	reorganisiertest	reorganisierte	reorganisierten	reorganisiertet	reorganisierten	reorganisiert	reorganisier	reorganisiert
reparieren	repariere	reparierst	repariert	reparieren	repariert	reparieren	reparierte	repariertest	reparierte	reparierten	repariertet	reparierten	repariert	repariere	repariert
repatriieren	repatriiere	repatriierst	repatriiert	repatriieren	repatriiert	repatriieren	repatriierte	repatriiertest	repatriierte	repatriierten	repatriiertet	repatriierten	repatriiert	repatriiere	repatriiert
repetieren	repetiere	repetierst	repetiert	repetieren	repetiert	repetieren	repetierte	repetiertest	repetierte	repetierten	repetiertet	repetierten	repetiert	repetiere	repetiert
replizieren	repliziere	replizierst	repliziert	replizieren	repliziert	replizieren	replizierte	repliziertest	replizierte	replizierten	repliziertet	replizierten	repliziert	repliziere	repliziert
reponieren	reponiere	reponierst	reponiert	reponieren	reponiert	reponieren	reponierte	reponiertest	reponierte	reponierten	reponiertet	reponierten	reponiert	reponiere	reponiert
reportieren	reportiere	reportierst	reportiert	reportieren	reportiert	reportieren	reportierte	reportiertest	reportierte	reportierten	reportiertet	reportierten	reportiert	reportier	reportiert
reprimieren	reprimiere	reprimierst	reprimiert	reprimieren	reprimiert	reprimieren	reprimierte	reprimiertest	reprimierte	reprimierten	reprimiertet	reprimierten	reprimiert	reprimiere	reprimiert
repristinieren	repristiniere	repristinierst	repristiniert	repristinieren	repristiniert	repristinieren	repristinierte	repristiniertest	repristinierte	repristinierten	repristiniertet	repristinierten	repristiniert	repristinier	repristiniert
reprivatisieren	reprivatisiere	reprivatisierst	reprivatisiert	reprivatisieren	reprivatisiert	reprivatisieren	reprivatisierte	reprivatisiertest	reprivatisierte	reprivatisierten	reprivatisiertet	reprivatisierten	reprivatisiert	reprivatisier	reprivatisiert
reproduzieren	reproduziere	reproduzierst	reproduziert	reproduzieren	reproduziert	reproduzieren	reproduzierte	reproduziertest	reproduzierte	reproduzierten	reproduziertet	reproduzierten	reproduziert	reproduzier	reproduziert
repräsentieren	repräsentiere	repräsentierst	repräsentiert	repräsentieren	repräsentiert	repräsentieren	repräsentierte	repräsentiertest	repräsentierte	repräsentierten	repräsentiertet	repräsentierten	repräsentiert	repräsentiere	repräsentiert
requirieren	requiriere	requirierst	requiriert	requirieren	requiriert	requirieren	requirierte	requiriertest	requirierte	requirierten	requiriertet	requirierten	requiriert	requiriere	requiriert
reservieren	reserviere	reservierst	reserviert	reservieren	reserviert	reservieren	reservierte	reserviertest	reservierte	reservierten	reserviertet	reservierten	reserviert	reservier	reserviert
resetten	resette	resettest	resettet	resetten	resettet	resetten	resettete	resettetest	resettete	resetteten	resettetet	resetteten	resettet	resette	resettet
residieren	residiere	residierst	residiert	residieren	residiert	residieren	residierte	residiertest	residierte	residierten	residiertet	residierten	residiert	residiere	residiert
resignieren	resigniere	resignierst	resigniert	resignieren	resigniert	resignieren	resignierte	resigniertest	resignierte	resignierten	resigniertet	resignierten	resigniert	resigniere	resigniert
resonieren	resoniere	resonierst	resoniert	resonieren	resoniert	resonieren	resonierte	resoniertest	resonierte	resonierten	resoniertet	resonierten	resoniert	resonier	resoniert
resorbieren	resorbiere	resorbierst	resorbiert	resorbieren	resorbiert	resorbieren	resorbierte	resorbiertest	resorbierte	resorbierten	resorbiertet	resorbierten	resorbiert	resorbiere	resorbiert
respektieren	respektiere	respektierst	respektiert	respektieren	respektiert	respektieren	respektierte	respektiertest	respektierte	respektierten	respektiertet	respektierten	respektiert	respektiere	respektiert
respizieren	respiziere	respizierst	respiziert	respizieren	respiziert	respizieren	respizierte	respiziertest	respizierte	respizierten	respiziertet	respizierten	respiziert	respizier	respiziert
restaurieren	restauriere	restaurierst	restauriert	restaurieren	restauriert	restaurieren	restaurierte	restauriertest	restaurierte	restaurierten	restauriertet	restaurierten	restauriert	restauriere	restauriert
restituieren	restituiere	restituierst	restituiert	restituieren	restituiert	restituieren	restituierte	restituiertest	restituierte	restituierten	restituiertet	restituierten	restituiert	restituier	restituiert
restringieren	restringiere	restringierst	restringiert	restringieren	restringiert	restringieren	restringierte	restringiertest	restringierte	restringierten	restringiertet	restringierten	restringiert	restringiere	restringiert
restrukturieren	restrukturiere	restrukturierst	restrukturiert	restrukturieren	restrukturiert	restrukturieren	restrukturierte	restrukturiertest	restrukturierte	restrukturierten	restrukturiertet	restrukturierten	restrukturiert	restrukturiere	restrukturiert
resublimieren	resublimiere	resublimierst	resublimiert	resublimieren	resublimiert	resublimieren	resublimierte	resublimiertest	resublimierte	resublimierten	resublimiertet	resublimierten	resublimiert	resublimiere	resublimiert
resultieren	resultiere	resultierst	resultiert	resultieren	resultiert	resultieren	resultierte	resultiertest	resultierte	resultierten	resultiertet	resultierten	resultiert	resultiere	resultiert
resümieren	resümiere	resümierst	resümiert	resümieren	resümiert	resümieren	resümierte	resümiertest	resümierte	resümierten	resümiertet	resümierten	resümiert	resümiere	resümiert
retardieren	retardiere	retardierst	retardiert	retardieren	retardiert	retardieren	retardierte	retardiertest	retardierte	retardierten	retardiertet	retardierten	retardiert	retardier	retardiert
retinieren	retiniere	retinierst	retiniert	retinieren	retiniert	retinieren	retinierte	retiniertest	retinierte	retinierten	retiniertet	retinierten	retiniert	retinier	retiniert
retirieren													retiriert	retirier	retiriert
retournieren	retourniere	retournierst	retourniert	retournieren	retourniert	retournieren	retournierte	retourniertest	retournierte	retournierten	retourniertet	retournierten	retourniert	retourniere	retourniert
retrahieren	retrahiere	retrahierst	retrahiert	retrahieren	retrahiert	retrahieren	retrahierte	retrahiertest	retrahierte	retrahierten	retrahiertet	retrahierten	retrahiert	retrahier	retrahiert
retten	rette	rettest	rettet	retten	rettet	retten	rettete	rettetest	rettete	retteten	rettetet	retteten	gerettet	rette	rettet
retuschieren	retuschiere	retuschierst	retuschiert	retuschieren	retuschiert	retuschieren	retuschierte	retuschiertest	retuschierte	retuschierten	retuschiertet	retuschierten	retuschiert	retuschier	retuschiert
reuen			reut			reuen			reute			reuten	gereut		
revakzinieren	revakziniere	revakzinierst	revakziniert	revakzinieren	revakziniert	revakzinieren	revakzinierte	revakziniertest	revakzinierte	revakzinierten	revakziniertet	revakzinierten	revakziniert	revakzinier	revakziniert
revanchieren													revanchiert	revanchiere	revanchiert
reversieren	reversiere	reversierst	reversiert	reversieren	reversiert	reversieren	reversierte	reversiertest	reversierte	reversierten	reversiertet	reversierten	reversiert	reversier	reversiert
revertieren	revertiere	revertierst	revertiert	revertieren	revertiert	revertieren	revertierte	revertiertest	revertierte	revertierten	revertiertet	revertierten	revertiert	revertier	revertiert
revidieren	revidiere	revidierst	revidiert	revidieren	revidiert	revidieren	revidierte	revidiertest	revidierte	revidierten	revidiertet	revidierten	revidiert	revidiere	revidiert
revieren	reviere	revierst	reviert	revieren	reviert	revieren	revierte	reviertest	revierte	revierten	reviertet	revierten	reviert	revier	reviert
reviewen	reviewe	reviewst	reviewt	reviewen	reviewt	reviewen	reviewte	reviewtest	reviewte	reviewten	reviewtet	reviewten	reviewt	review	reviewt
revoltieren	revoltiere	revoltierst	revoltiert	revoltieren	revoltiert	revoltieren	revoltierte	revoltiertest	revoltierte	revoltierten	revoltiertet	revoltierten	revoltiert	revoltier	revoltiert
revolutionieren	revolutioniere	revolutionierst	revolutioniert	revolutionieren	revolutioniert	revolutionieren	revolutionierte	revolutioniertest	revolutionierte	revolutionierten	revolutioniertet	revolutionierten	revolutioniert	revolutionier	revolutioniert
revolvieren	revolviere	revolvierst	revolviert	revolvieren	revolviert	revolvieren	revolvierte	revolviertest	revolvierte	revolvierten	revolviertet	revolvierten	revolviert	revolvier	revolviert
revozieren	revoziere	revozierst	revoziert	revozieren	revoziert	revozieren	revozierte	revoziertest	revozierte	revozierten	revoziertet	revozierten	revoziert	revoziere	revoziert
rezensieren	rezensiere	rezensierst	rezensiert	rezensieren	rezensiert	rezensieren	rezensierte	rezensiertest	rezensierte	rezensierten	rezensiertet	rezensierten	rezensiert	rezensier	rezensiert
rezeptieren	rezeptiere	rezeptierst	rezeptiert	rezeptieren	rezeptiert	rezeptieren	rezeptierte	rezeptiertest	rezeptierte	rezeptierten	rezeptiertet	rezeptierten	rezeptiert	rezeptier	rezeptiert
rezidivieren	rezidiviere	rezidivierst	rezidiviert	rezidivieren	rezidiviert	rezidivieren	rezidivierte	rezidiviertest	rezidivierte	rezidivierten	rezidiviertet	rezidivierten	rezidiviert	rezidivier	rezidiviert
rezipieren	rezipiere	rezipierst	rezipiert	rezipieren	rezipiert	rezipieren	rezipierte	rezipiertest	rezipierte	rezipierten	rezipiertet	rezipierten	rezipiert	rezipier	rezipiert
rezitieren	rezitiere	rezitierst	rezitiert	rezitieren	rezitiert	rezitieren	rezitierte	rezitiertest	rezitierte	rezitierten	rezitiertet	rezitierten	rezitiert	rezitier	rezitiert
rezyklieren	rezykliere	rezyklierst	rezykliert	rezyklieren	rezykliert	rezyklieren	rezyklierte	rezykliertest	rezyklierte	rezyklierten	rezykliertet	rezyklierten	rezykliert	rezykliere	rezykliert
reüssieren	reüssiere	reüssierst	reüssiert	reüssieren	reüssiert	reüssieren	reüssierte	reüssiertest	reüssierte	reüssierten	reüssiertet	reüssierten	reüssiert	reüssiere	reüssiert
rhodinieren	rhodiniere	rhodinierst	rhodiniert	rhodinieren	rhodiniert	rhodinieren	rhodinierte	rhodiniertest	rhodinierte	rhodinierten	rhodiniertet	rhodinierten	rhodiniert	rhodinier	rhodiniert
ribbeln	ribble	ribbelst	ribbelt	ribbeln	ribbelt	ribbeln	ribbelte	ribbeltest	ribbelte	ribbelten	ribbeltet	ribbelten	geribbelt	ribbel	ribbelt
richten	richte	richtest	richtet	richten	richtet	richten	richtete	richtetest	richtete	richteten	richtetet	richteten	gerichtet	richte	richtet
richtigliegen	liege richtig	liegst richtig	liegt richtig	liegen richtig	liegt richtig	liegen richtig	lag richtig	lagst richtig	lag richtig	lagen richtig	lagt richtig	lagen richtig	richtiggelegen	lieg richtig	liegt richtig
richtigstellen	stelle richtig	stellst richtig	stellt richtig	stellen richtig	stellt richtig	stellen richtig	stellte richtig	stelltest richtig	stellte richtig	stellten richtig	stelltet richtig	stellten richtig	richtiggestellt	stell richtig	stellt richtig
riechen	rieche	riechst	riecht	riechen	riecht	riechen	roch	rochst	roch	rochen	rocht	rochen	gerochen	rieche	riecht
